127.0.0.1 - - [23/Oct/2017:08:31:30 -0600] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [23/Oct/2017:08:31:31 -0600] "GET /TeamRest/ HTTP/1.1" 200 774
0:0:0:0:0:0:0:1 - - [23/Oct/2017:08:31:31 -0600] "GET /TeamRest/js/app.js HTTP/1.1" 200 4758
0:0:0:0:0:0:0:1 - - [23/Oct/2017:08:31:34 -0600] "GET /TeamRest/rest/teams HTTP/1.1" 200 184
0:0:0:0:0:0:0:1 - - [23/Oct/2017:08:31:46 -0600] "GET /TeamRest/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Oct/2017:08:31:47 -0600] "GET /TeamRest/js/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Oct/2017:08:31:47 -0600] "GET /TeamRest/rest/teams HTTP/1.1" 200 184
0:0:0:0:0:0:0:1 - - [23/Oct/2017:08:31:47 -0600] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [23/Oct/2017:08:31:53 -0600] "GET /TeamRest/rest/teams/298 HTTP/1.1" 200 71
0:0:0:0:0:0:0:1 - - [23/Oct/2017:08:31:57 -0600] "PUT /TeamRest/rest/teams/298 HTTP/1.1" 200 59
0:0:0:0:0:0:0:1 - - [23/Oct/2017:08:31:57 -0600] "GET /TeamRest/rest/teams HTTP/1.1" 200 172
0:0:0:0:0:0:0:1 - - [23/Oct/2017:08:31:58 -0600] "GET /TeamRest/rest/teams/298 HTTP/1.1" 200 59
0:0:0:0:0:0:0:1 - - [23/Oct/2017:08:32:00 -0600] "GET /TeamRest/rest/teams HTTP/1.1" 200 172
